#最大Miese应力(MPa)   最大Miese应变  密度kg/m^3  弹模GPa  转速r/min 
6.17568000e+02 6.43522132e-03 8.339873333154808279e+03 1.668096442174117158e+02 1.801380586897036119e+04 
5.95246000e+02 6.14068667e-03 7.920382424063898725e+03 1.684948873711046815e+02 1.814907859624308912e+04 
6.45527000e+02 6.56408442e-03 8.459727878609353866e+03 1.709385237347410396e+02 1.828435132351581706e+04 
6.59233000e+02 6.88145832e-03 8.512559787780948682e+03 1.665140095998583547e+02 1.841962405078854499e+04 
6.39394000e+02 6.62584232e-03 7.954381713914540342e+03 1.677358277816765337e+02 1.876691547514248668e+04 
6.52555000e+02 6.80601698e-03 8.001834064862661762e+03 1.666546858222824881e+02 1.890218820241521462e+04 
6.69099000e+02 6.93945586e-03 8.087835472726574153e+03 1.675926160599082664e+02 1.903746092968794255e+04 
6.87160000e+02 7.07515935e-03 8.188672686195761344e+03 1.688144342417264454e+02 1.917273365696066685e+04 
6.91172000e+02 7.25501921e-03 8.121688610317207349e+03 1.655878260355935367e+02 1.930800638423339478e+04 
6.09367000e+02 6.23857422e-03 8.283330949772920576e+03 1.697848891615038553e+02 1.795527911150612272e+04 
6.20518000e+02 6.36307431e-03 8.308527231650306931e+03 1.695076236464482520e+02 1.809055183877885065e+04 
6.34851000e+02 6.38736438e-03 8.373872623005448986e+03 1.727637767313733832e+02 1.822582456605157859e+04 
6.48214000e+02 6.62638513e-03 8.423987904772275215e+03 1.700362524235446244e+02 1.836109729332430288e+04 
6.64371000e+02 6.72582012e-03 8.507326381817483707e+03 1.716969169446844603e+02 1.849637002059703082e+04 
6.77823000e+02 6.96098186e-03 8.553654441187267366e+03 1.692532805810481022e+02 1.863164274786975875e+04 
6.38963000e+02 6.74665870e-03 7.913287060508221657e+03 1.646203509191755359e+02 1.880942599933784368e+04 
6.49403000e+02 6.62747614e-03 7.927406618036342479e+03 1.703201403677370251e+02 1.894469872661057161e+04 
7.08389000e+02 7.14908715e-03 8.523040040682011750e+03 1.722285255251402134e+02 1.907997145388329955e+04 
7.11813000e+02 7.21237784e-03 8.444054865431238795e+03 1.715419585495552042e+02 1.921524418115602384e+04 
5.88506000e+02 6.00068505e-03 8.084491229067601125e+03 1.704750987628662813e+02 1.786251690842875178e+04 
6.07042000e+02 6.21726578e-03 8.212923424144584715e+03 1.697167055529228605e+02 1.799778963570147971e+04 
6.19342000e+02 6.19263501e-03 8.254018077550903399e+03 1.738449186907674289e+02 1.813306236297420764e+04 
6.34664000e+02 6.72373563e-03 8.332777969599130302e+03 1.640703732362219966e+02 1.826833509024693558e+04 
6.30197000e+02 6.53345227e-03 8.152996151417312831e+03 1.676616283669501115e+02 1.840360781751965987e+04 
6.72112000e+02 7.08751298e-03 8.567253654544756500e+03 1.648294328256501160e+02 1.853888054479238781e+04 
6.45836000e+02 6.55236511e-03 8.114088269984677027e+03 1.713270829124046486e+02 1.867415327206511574e+04 
6.60493000e+02 6.79491995e-03 7.964636683613055538e+03 1.689576459634947128e+02 1.906060928361905462e+04 
6.75004000e+02 6.80241266e-03 8.024563956340328332e+03 1.724798887871809825e+02 1.919588201089178256e+04 
7.05359000e+02 7.15289809e-03 8.267617290908392533e+03 1.714012823271310708e+02 1.933115473816451049e+04 
5.89523000e+02 6.32282504e-03 7.994233724530131440e+03 1.620662480592428096e+02 1.797842746543723842e+04 
6.28444000e+02 6.47636961e-03 8.392705242326403095e+03 1.686697714896204161e+02 1.811370019270996636e+04 
6.10059000e+02 6.23120291e-03 8.027908199999300450e+03 1.701794641453128918e+02 1.824897291998269429e+04 
6.26989000e+02 6.48382197e-03 8.128745413468488550e+03 1.680857551634947527e+02 1.838424564725541859e+04 
6.56362000e+02 6.66743180e-03 8.384127592703966002e+03 1.711134078532567742e+02 1.851951837452814652e+04 
6.72298000e+02 6.91938091e-03 8.463112767954738956e+03 1.688834465487682905e+02 1.865479110180087446e+04 
6.85402000e+02 7.11915304e-03 8.503982138158511589e+03 1.673412527978674689e+02 1.879006382907360239e+04 
7.00266000e+02 7.13756695e-03 8.563909410885784382e+03 1.705293915271311107e+02 1.892533655634633033e+04 
6.72214000e+02 6.73643589e-03 8.068818140741215757e+03 1.734503437069583924e+02 1.910362833543181478e+04 
6.74518000e+02 7.17997008e-03 7.983694586136557518e+03 1.632880662410609887e+02 1.923890106270454271e+04 
5.87081000e+02 6.20313472e-03 8.043621858863830312e+03 1.645098844228791677e+02 1.788617378997727064e+04 
6.00499000e+02 6.06302798e-03 8.103549131591103105e+03 1.721603419165592186e+02 1.802144651724999494e+04 
6.14921000e+02 6.26465119e-03 8.174015542711949820e+03 1.706189753319700628e+02 1.815671924452272287e+04 
6.27948000e+02 6.34779259e-03 8.223403677045647783e+03 1.719512600100846385e+02 1.829199197179545081e+04 
6.56785000e+02 6.59240530e-03 8.473651906348313787e+03 1.731730781919028175e+02 1.842726469906817874e+04 
6.53886000e+02 6.63667369e-03 8.313945350278176193e+03 1.712580706053628035e+02 1.856253742634090668e+04 
6.70928000e+02 6.72618646e-03 8.406824799854524827e+03 1.733821600983773976e+02 1.869781015361363097e+04 
6.64253000e+02 6.69143655e-03 8.204345774522147622e+03 1.725489010942228276e+02 1.883308288088635891e+04 
6.72211000e+02 6.73225105e-03 8.184278813863184041e+03 1.735570442168931322e+02 1.896835560815908684e+04 
6.72711000e+02 6.69427435e-03 7.941906792135388969e+03 1.746721618887765715e+02 1.926269086538906777e+04 
5.96056000e+02 5.94485668e-03 8.144418501794873919e+03 1.742844298774246283e+02 1.790996359266179206e+04 
5.98401000e+02 5.97314332e-03 8.054160997257404233e+03 1.741405533083208184e+02 1.804523631993452000e+04 
6.42731000e+02 6.41351406e-03 8.519655151336626659e+03 1.741948460725856762e+02 1.818050904720724793e+04 
6.24983000e+02 6.28246788e-03 8.163476404318375899e+03 1.729187351265026393e+02 1.831578177447997587e+04 
6.20542000e+02 6.20974607e-03 7.987333890763615273e+03 1.737017069689991615e+02 1.845105450175270380e+04 
6.53989000e+02 6.51837323e-03 8.293870088166495407e+03 1.743948963737209965e+02 1.858632722902543173e+04 
6.68384000e+02 6.71304934e-03 8.353797360893768200e+03 1.730626116956064493e+02 1.872159995629815603e+04 
6.82996000e+02 6.79922134e-03 8.413724633621040994e+03 1.746039782801955766e+02 1.885687268357088396e+04 
6.85462000e+02 6.85645727e-03 8.324200319976693208e+03 1.737707192760410067e+02 1.899214541084361190e+04 
7.12820000e+02 7.12118712e-03 8.533579179075586580e+03 1.739855949131915622e+02 1.912741813811633983e+04 
